Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
66,Abuse/Neglect Reporting - Permit Disclosures Regarding Victims of Abuse or Neglect,"A covered entity may disclose protected health information about an individual whom the covered entity reasonably believes to be a victim of abuse, neglect, or domestic violence to a government authority, including a social service or protective services agency, authorized by law to receive reports of such abuse, neglect, or domestic violence: (i) To the extent the disclosure is required by law and the disclosure complies with and is limited to the relevant requirements of such law; (ii) If the individual agrees to the disclosure; or (iii) To the extent the disclosure is expressly authorized by statute or regulation and: (A) The covered entity, in the exercise of professional judgment, believes the disclosure is necessary to prevent serious harm to the individual or other potential victims; or (B) If the individual is unable to agree because of incapacity, a law enforcement or other public official authorized to receive the report represents that the protected health information for which disclosure is sought is not intended to be used against the individual and that an immediate enforcement activity that depends upon the disclosure would be materially and adversely affected by waiting until the individual is able to agree to the disclosure.",,Permitted Uses and Disclosures,47,164.512(c),"Standard: Disclosures about victims of abuse, neglect or domestic violence.",Yes,,,
67,Health Oversight Activities - Permit Disclosures to Health Oversight Agencies,"A covered entity may disclose protected health information to a health oversight agency for oversight activities authorized by law, including audits; civil, administrative, or criminal investigations; inspections; licensure or disciplinary actions; civil, administrative, or criminal proceedings or actions; or other activities necessary for appropriate oversight of: (i) The health care system; (ii) Government benefit programs for which health information is relevant to beneficiary eligibility; (iii) Entities subject to government regulatory programs for which health information is necessary for determining compliance with program standards; or (iv) Entities subject to civil rights laws for which health information is necessary for determining compliance.",,Permitted Uses and Disclosures,47,164.512(d),Standard: Uses and disclosures for health oversight activities.,Yes,,,
68,Judicial/Administrative Proceedings - Permit Disclosures in Legal Proceedings Under Required Conditions,"A covered entity may disclose protected health information in the course of any judicial or administrative proceeding: (i) In response to an order of a court or administrative tribunal, provided that the covered entity discloses only the protected health information expressly authorized by such order; or (ii) In response to a subpoena, discovery request, or other lawful process, that is not accompanied by an order of a court or administrative tribunal, if: (A) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iii) of this section, from the party seeking the information that reasonable efforts have been made by such party to ensure that the individual who is the subject of the protected health information that has been requested has been given notice of the request; or (B) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iv) of this section, from the party seeking the information that reasonable efforts have been made by such party to secure a qualified protective order that meets the requirements of paragraph (e)(1)(v) of this section.",,Permitted Uses and Disclosures,47,164.512(e),Standard: Disclosures for judicial and administrative proceedings.,Yes,,,
69,Law Enforcement - Permit Disclosures to Law Enforcement Under Specific Conditions,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(f),Standard: Disclosures to law enforcement.,Yes,,,
70,Decedents - Permit Disclosures to Coroners and Medical Examiners,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(g),Standard: Disclosures to coroners and medical examiners.,Yes,,,
71,Cadaveric Organ Donation - Permit Disclosures to Organ Procurement Organizations,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(h),Standard: Disclosures to organ procurement organizations.,Yes,,,
72,Research - Permit Disclosures for Research Under Required Conditions,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(i),Standard: Disclosures for research.,Yes,,,
73,Serious Threat to Health/Safety - Permit Disclosures to Prevent Serious and Imminent Threats,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(j),Standard: Disclosures to prevent serious and imminent threat to health or safety.,Yes,,,
74,"Specialized Government Functions - Permit Disclosures for Military, National Security, Correctional Contexts",Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(k),Standard: Disclosures for specialized government functions.,Yes,,,
75,Workers Compensation - Permit Disclosures as Required by Workers Compensation Laws,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(l),Standard: Disclosures for workers compensation.,Yes,,,
76,De-identification - De-identify PHI Using Expert Determination or Safe Harbor Method,"A covered entity may determine that health information is not individually identifiable health information only if: (1) A person with appropriate knowledge of and experience with generally accepted statistical and scientific principles and methods for rendering information not individually identifiable: (i) Applying such principles and methods, determines that the risk is very small that the information could be used, alone or in combination with other reasonably available information, by an anticipated recipient to identify an individual who is a subject of the information; and (ii) Documents the methods and results of the analysis that justify such determination; or (2)(i) The following identifiers of the individual or of relatives, employers, or household members of the individual, are removed: [Names; All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current publicly available data from the Bureau of the Census the geographic unit formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and the initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000; All elements of dates (except year) for dates directly related to an individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into a single category of age 90 or older; Telephone numbers; Fax numbers; Electronic mail addresses; Social security numbers; Medical record numbers; Health plan beneficiary numbers; Account numbers; Certificate/license numbers; Vehicle identifiers and serial numbers, including license plate numbers; Device identifiers and serial numbers; Web Universal Resource Locators (URLs); Internet Protocol (IP) address numbers; Biometric identifiers, including finger and voice prints; Full face photographic images and any comparable images; and Any other unique identifying number, characteristic, or code, except as permitted by paragraph (c) of this section] and (ii) The covered entity does not have actual knowledge that the information could be used alone or in combination with other information to identify an individual who is a subject of the information.",,De-identification and Data Use Limitations,47,164.514(a)–(b),Health information that does not identify an individual and with respect to which there is no reasonable basis to believe that the information can be used to identify an individual is not individually identifiable health information.,Yes,,,
77,Re-identification - Prohibit Re-identification Without Individual Authorization,"A covered entity may assign a code or other means of record identification to allow information de-identified under this section to be re-identified by the covered entity, provided that: (1) Derivation. The code or other means of record identification is not derived from or related to information about the individual and is not otherwise capable of being translated so as to identify the individual; and (2) Security. The covered entity does not use or disclose the code or other means of record identification for any other purpose, and does not disclose the mechanism for re-identification.",,De-identification and Data Use Limitations,47,164.514(c),Implementation specifications: Re-identification.,Yes,,,
78,Minimum Necessary - Apply Minimum Necessary Standard to All Internal Uses and Disclosures,"In order to comply with § 164.502(b) and this section, a covered entity must meet the requirements of paragraphs (d)(2) through (d)(5) of this section with respect to a request for, or the use and disclosure of, protected health information.",,De-identification and Data Use Limitations,47,164.514(d),Standard: Minimum necessary requirements.,Yes,,,
79,Workforce Access - Limit Workforce Access to PHI to Minimum Necessary by Role,"A covered entity must identify: (A) Those persons or classes of persons, as appropriate, in its workforce who need access to protected health information to carry out their duties; and (B) For each such person or class of persons, the category or categories of protected health information to which access is needed and any conditions appropriate to such access. A covered entity must make reasonable efforts to limit the access of such persons or classes identified in paragraph (d)(2)(i)(A) of this section to protected health information consistent with paragraph (d)(2)(i)(B) of this section.",,De-identification and Data Use Limitations,47,164.514(d)(4),Implementation specifications: Minimum necessary uses of protected health information.,Yes,,,
80,Non-Routine Requests - Review Non-Routine Disclosure Requests Against Minimum Necessary Standard,"For all uses, disclosures, or requests to which the requirements in paragraph (d) of this section apply, a covered entity may not use, disclose or request an entire medical record, except when the entire medical record is specifically justified as the amount that is reasonably necessary to accomplish the purpose of the use, disclosure, or request.",,De-identification and Data Use Limitations,47,164.514(d)(5),Implementation specification: Other content requirement.,Yes,,,
81,Limited Data Set - Use Data Use Agreement When Sharing Limited Data Sets,"A covered entity may use or disclose a limited data set that meets the requirements of paragraphs (e)(2) and (e)(3) of this section, if the covered entity enters into a data use agreement with the limited data set recipient, in accordance with paragraph (e)(4) of this section.",,De-identification and Data Use Limitations,47,164.514(e),Standard: Limited data set.,Yes,,,
82,Fundraising - Restrict PHI Use for Fundraising to Permitted Information Only,[Text not provided in regulation excerpt],,De-identification and Data Use Limitations,47,164.514(f),Standard: Fundraising.,Yes,,,
83,Underwriting - Prohibit Use of Genetic Information for Underwriting Purposes,[Text not provided in regulation excerpt],,De-identification and Data Use Limitations,47,164.514(g),Standard: Underwriting.,Yes,,,
84,Notice: Right to Notice - Provide Every Individual a Right to Receive Notice of Privacy Practices,"an individual has a right to adequate notice of the uses and disclosures of protected health information that may be made by the covered entity, and of the individual's rights and the covered entity's legal duties with respect to protected health information",,Individual Rights,47,164.520(a),"Except as provided by paragraph (a)(2) or (3) of this section, an individual has a right to adequate notice of the uses and disclosures of protected health information that may be made by the covered entity, and of the individual's rights and the covered entity's legal duties with respect to protected health information.",Yes,,,
85,Notice: Content Requirements - Include All Required Elements in the Notice of Privacy Practices,The covered entity must provide a notice that is written in plain language and that contains the elements required by this paragraph,,Individual Rights,47,164.520(b),Implementation specifications: Content of notice. (1) Required elements. The covered entity must provide a notice that is written in plain language and that contains the elements required by this paragraph.,Yes,,,
86,Notice: Distribution - Distribute Notice of Privacy Practices as Required,"A covered entity must make the notice required by this section available on request to any person and to individuals as specified in paragraphs (c)(1) through (c)(3) of this section, as applicable",,Individual Rights,47,164.520(c),"Implementation specifications: Provision of notice. A covered entity must make the notice required by this section available on request to any person and to individuals as specified in paragraphs (c)(1) through (c)(3) of this section, as applicable.",Yes,,,
87,Notice: Joint Notice - Issue Joint Notice for Organized Health Care Arrangements,No match found in provided regulation text,,Individual Rights,47,164.520(d),No match found in provided regulation text,Yes,,,
88,Right to Restrict - Establish Process to Accept and Honor Restriction Requests,"A covered entity must permit an individual to request that the covered entity restrict: (A) Uses or disclosures of protected health information about the individual to carry out treatment, payment, or health care operations; and (B) Disclosures permitted under § 164.510(b).",,Individual Rights,47,164.522(a),Standard: Right of an individual to request restriction of uses and disclosures.,Yes,,,
89,Restriction: Out-of-Pocket - Honor Restriction Requests When Individual Pays Out of Pocket in Full,"A covered entity must agree to the request of an individual to restrict disclosure of protected health information about the individual to a health plan if: (A) The disclosure is for the purpose of carrying out payment or health care operations and is not otherwise required by law; and (B) The protected health information pertains solely to a health care item or service for which the individual, or person other than the health plan on behalf of the individual, has paid the covered entity in full.",,Individual Rights,47,164.522(a)(1)(vi),Standard: Right of an individual to request restriction of uses and disclosures.,Yes,,,
90,Confidential Communications - Accommodate Reasonable Requests for Confidential Communications,"A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A health plan must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the health plan by alternative means or at alternative locations, if the individual clearly states that the disclosure of all or part of that information could endanger the individual.",,Individual Rights,47,164.522(b),Standard: Confidential communications requirements.,Yes,,,
91,Right of Access - Grant Individuals Right to Access PHI in Designated Record Sets,"an individual has a right of access to inspect and obtain a copy of protected health information about the individual in a designated record set, for as long as the protected health information is maintained in the designated record set",,Individual Rights,47,164.524(a),"Except as otherwise provided in paragraph (a)(2) or (a)(3) of this section, an individual has a right of access to inspect and obtain a copy of protected health information about the individual in a designated record set, for as long as the protected health information is maintained in the designated record set",Yes,,,
92,Access: Requests - Establish Process for Individuals to Submit Access Requests,"The covered entity must permit an individual to request access to inspect or to obtain a copy of the protected health information about the individual that is maintained in a designated record set. The covered entity may require individuals to make requests for access in writing, provided that it informs individuals of such a requirement.",,Individual Rights,47,164.524(b),Implementation specifications: Requests for access and timely action,Yes,,,
93,Access: Timely Action - Respond to Access Requests Within Required Timeframes,the covered entity must act on a request for access no later than 30 days after receipt of the request,,Individual Rights,47,164.524(c),"Timely action by the covered entity. Except as provided in paragraph (b)(2)(ii) of this section, the covered entity must act on a request for access no later than 30 days after receipt of the request",Yes,,,
94,Access: Denial - Provide Written Denial and Review Rights When Denying Access,"The covered entity must provide a timely, written denial to the individual, in accordance with paragraph (b)(2) of this section. The denial must be in plain language and contain: (i) The basis for the denial; (ii) If applicable, a statement of the individual's review rights under paragraph (a)(4) of this section, including a description of how the individual may exercise such review rights; and (iii) A description of how the individual may complain to the covered entity pursuant to the complaint procedures in § 164.530(d) or to the Secretary pursuant to the procedures in § 160.306.",,Individual Rights,47,164.524(d),"Implementation specifications: Denial of access. If the covered entity denies access, in whole or in part, to protected health information, the covered entity must comply with the following requirements.",Yes,,,
95,Right to Amend - Grant Individuals Right to Request Amendment of PHI,An individual has the right to have a covered entity amend protected health information or a record about the individual in a designated record set for as long as the protected health information is maintained in the designated record set.,,Individual Rights,47,164.526(a),§ 164.526 Amendment of protected health information. (a) Standard: Right to amend.,Yes,,,
96,Amendment: Timely Action - Act on Amendment Requests Within 60 Days,The covered entity must act on the individual's request for an amendment no later than 60 days after receipt of such a request.,,Individual Rights,47,164.526(b),§ 164.526 (b) Implementation specifications: Requests for amendment and timely action. (2) Timely action by the covered entity. (i) The covered entity must act on the individual's request for an amendment no later than 60 days after receipt of such a request.,Yes,,,
97,Amendment: Decision - Notify Individual and Relevant Parties of Amendment Decision,"The covered entity must timely inform the individual that the amendment is accepted and obtain the individual's identification of and agreement to have the covered entity notify the relevant persons with which the amendment needs to be shared in accordance with paragraph (c)(3) of this section; and if the covered entity denies the requested amendment, in whole or in part, the covered entity must provide the individual with a timely, written denial, in accordance with paragraph (b)(2) of this section.",,Individual Rights,47,164.526(c)–(d),"§ 164.526 (c) Implementation specifications: Accepting the amendment. (2) Informing the individual. In accordance with paragraph (b) of this section, the covered entity must timely inform the individual that the amendment is accepted and obtain the individual's identification of and agreement to have the covered entity notify the relevant persons with which the amendment needs to be shared in accordance with paragraph (c)(3) of this section; and (d) Implementation specifications: Denying the amendment. (1) Denial. The covered entity must provide the individual with a timely, written denial, in accordance with paragraph (b)(2) of this section.",Yes,,,
98,Accounting of Disclosures - Provide Individuals an Accounting of Disclosures Upon Request,"An individual has a right to receive an accounting of disclosures of protected health information made by a covered entity in the six years prior to the date on which the accounting is requested, except for disclosures: (i) To carry out treatment, payment and health care operations as provided in § 164.506; (ii) To individuals of protected health information about them as provided in § 164.502; (iii) Incident to a use or disclosure otherwise permitted or required by this subpart, as provided in § 164.502; (iv) Pursuant to an authorization as provided in § 164.508; (v) For the facility's directory or to persons involved in the individual's care or other notification purposes as provided in § 164.510; (vi) For national security or intelligence purposes as provided in § 164.512(k)(2); (vii) To correctional institutions or law enforcement officials as provided in § 164.512(k)(5); (viii) As part of a limited data set in accordance with § 164.514(e); or (ix) That occurred prior to the compliance date for the covered entity.",,Individual Rights,47,164.528(a),Standard: Right to an accounting of disclosures of protected health information.,Yes,,,
99,Accounting: Content - Include All Required Elements in Each Accounting,"The covered entity must provide the individual with a written accounting that includes for each disclosure: (i) The date of the disclosure; (ii) The name of the entity or person who received the protected health information and, if known, the address of such entity or person; (iii) A brief description of the protected health information disclosed; and (iv) A brief statement of the purpose of the disclosure that reasonably informs the individual of the basis for the disclosure or, in lieu of such statement, a copy of a written request for a disclosure under §§ 164.502(a)(2)(ii) or 164.512, if any.",,Individual Rights,47,164.528(b),Implementation specifications: Content of the accounting.,Yes,,,
100,Accounting: Timeliness - Respond to Accounting Requests Within Required Timeframes,"The covered entity must act on the individual's request for an accounting, no later than 60 days after receipt of such a request, as follows: (i) The covered entity must provide the individual with the accounting requested; or (ii) If the covered entity is unable to provide the accounting within the time required by paragraph (c)(1) of this section, the covered entity may extend the time to provide the accounting by no more than 30 days, provided that: (A) The covered entity, within the time limit set by paragraph (c)(1) of this section, provides the individual with a written statement of the reasons for the delay and the date by which the covered entity will provide the accounting; and (B) The covered entity may have only one such extension of time for action on a request for an accounting.",,Individual Rights,47,164.528(c),Implementation specifications: Provision of the accounting.,Yes,,,
101,Business Associate Contracts: General - Obtain a Business Associate Agreement Before Sharing PHI with a BA,"The contract or other arrangement required by 164.502(e)(2) must meet the requirements of paragraph (e)(2), (e)(3), or (e)(5) of this section, as applicable.",,Organizational Requirements,47,164.504(e)(1),A covered entity must obtain a Business Associate Agreement before sharing PHI with a BA.,Yes,,,
102,BA Contract: Required Provisions - Ensure BA Contracts Include All Required Privacy Provisions,A contract between the covered entity and a business associate must: (i) Establish the permitted and required uses and disclosures of protected health information by the business associate. The contract may not authorize the business associate to use or further disclose the information in a manner that would violate the requirements of this subpart.,,Organizational Requirements,47,164.504(e)(2),Ensure BA Contracts Include All Required Privacy Provisions.,Yes,,,
103,BA Contract: Subcontractors - Require BAs to Flow Down Privacy Obligations to Subcontractors,"To the extent the business associate is to carry out a covered entity obligation under this subpart, comply with the requirements of this subpart that apply to the covered entity in the performance of such obligation.",,Organizational Requirements,47,164.504(e)(2)(ii)(H),Require BAs to Flow Down Privacy Obligations to Subcontractors.,Yes,,,
104,BA Contract: Violation Response - Terminate BA Contract or Report Violation Upon Discovery of Material Breach,"A covered entity is not in compliance with the standards in 164.502(e) and this paragraph, if the covered entity knew of a pattern of activity or practice of the business associate that constituted a material breach or violation of the business associate obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the contract or arrangement, if feasible.",,Organizational Requirements,47,164.504(e)(5),Terminate BA Contract or Report Violation Upon Discovery of Material Breach.,Yes,,,
105,Group Health Plans - Amend Plan Documents to Restrict Plan Sponsor Access to PHI,"A group health plan, in order to disclose protected health information to the plan sponsor or to provide for or permit the disclosure of protected health information to the plan sponsor by a health insurance issuer or HMO with respect to the group health plan, must ensure that the plan documents restrict uses and disclosures of such information by the plan sponsor consistent with the requirements of this subpart.",,Organizational Requirements,47,164.504(f),Amend Plan Documents to Restrict Plan Sponsor Access to PHI.,Yes,,,
106,Hybrid Entities - Designate Health Care Component and Apply Privacy Rule Accordingly,A covered entity that is a hybrid entity must designate the health care components of its operations and must ensure that each health care component complies with the applicable requirements of this subpart.,,Organizational Requirements,47,164.504(g),Designate Health Care Component and Apply Privacy Rule Accordingly.,Yes,,,
107,Personnel Designations - Designate a Privacy Official Responsible for Privacy Program,A covered entity must designate a privacy official who is responsible for the development and implementation of the policies and procedures of the entity.,,Administrative Requirements,47,164.530(a)(1),Standard: Personnel designations.,Yes,,,
108,Personnel Designations - Designate a Contact Person for Receiving Privacy Complaints,A covered entity must designate a contact person or office who is responsible for receiving complaints under this section and who is able to provide further information about matters covered by the notice required by § 164.520.,,Administrative Requirements,47,164.530(a)(1)(ii),Standard: Personnel designations.,Yes,,,
109,Training - Train All Workforce Members on Privacy Policies and Procedures,"A covered entity must train all members of its workforce on the policies and procedures with respect to protected health information required by this subpart and subpart D of this part, as necessary and appropriate for the members of the workforce to carry out their functions within the covered entity.",,Administrative Requirements,47,164.530(b)(1),Standard: Training.,Yes,,,
110,Training: Timing - Train New Members Within Reasonable Period; Retrain on Material Changes,"A covered entity must provide training that meets the requirements of paragraph (b)(1) of this section, as follows: To each member of the covered entity's workforce by no later than the compliance date for the covered entity; Thereafter, to each new member of the workforce within a reasonable period of time after the person joins the covered entity's workforce; and To each member of the covered entity's workforce whose functions are affected by a material change in the policies or procedures required by this subpart or subpart D of this part, within a reasonable period of time after the material change becomes effective in accordance with paragraph (i) of this section.",,Administrative Requirements,47,164.530(b)(2),Implementation specifications: Training.,Yes,,,
111,"Safeguards - Implement Administrative, Technical, and Physical PHI Safeguards","A covered entity must have in place appropriate administrative, technical, and physical safeguards to protect the privacy of protected health information.",,Administrative Requirements,47,164.530(c)(1),Standard: Safeguards.,Yes,,,
112,Safeguards: Incidental Use - Reasonably Limit Incidental Uses and Disclosures,A covered entity must reasonably safeguard protected health information to limit incidental uses or disclosures made pursuant to an otherwise permitted or required use or disclosure.,,Administrative Requirements,47,164.530(c)(2),Implementation specification: Safeguards.,Yes,,,
113,Complaints - Provide Process for Individuals to File Privacy Complaints,A covered entity must provide a process for individuals to make complaints concerning the covered entity's policies and procedures required by this subpart and subpart D of this part or its compliance with such policies and procedures or the requirements of this subpart or subpart D of this part.,,Administrative Requirements,47,164.530(d)(1),Standard: Complaints to the covered entity.,Yes,,,
114,Complaints: Documentation - Document All Complaints Received and Their Disposition,"A covered entity must document all complaints received, and their disposition, if any.",,Administrative Requirements,47,164.530(d)(2),Implementation specification: Documentation of complaints.,Yes,,,
115,Sanctions - Apply Sanctions to Workforce Members Who Violate Privacy Policies,A covered entity must have and apply appropriate sanctions against members of its workforce who fail to comply with the privacy policies and procedures of the covered entity or the requirements of this subpart or subpart D of this part.,,Administrative Requirements,47,164.530(e)(1),Standard: Sanctions.,Yes,,,
116,Sanctions: Documentation - Document Sanctions Applied,"A covered entity must document the sanctions that are applied, if any.",,Administrative Requirements,47,164.530(e)(2),Implementation specification: Documentation.,Yes,,,
117,Mitigation - Mitigate Harmful Effects of Any Known Privacy Violation,"A covered entity must mitigate, to the extent practicable, any harmful effect that is known to the covered entity of a use or disclosure of protected health information in violation of its policies and procedures or the requirements of this subpart by the covered entity or its business associate.",,Administrative Requirements,47,164.530(f),Standard: Mitigation.,Yes,,,
118,No Retaliation - Prohibit Retaliation Against Individuals for Exercising Privacy Rights,"A covered entity may not intimidate, threaten, coerce, discriminate against, or take other retaliatory action against any individual for the exercise by the individual of any right established, or for participation in any process provided for, by this subpart or subpart D of this part, including the filing of a complaint under this section; and Must refrain from intimidation and retaliation as provided in § 160.316 of this subchapter.",,Administrative Requirements,47,164.530(g),Standard: Refraining from intimidating or retaliatory acts.,Yes,,,
119,No Waiver of Rights - Prohibit Conditioning Treatment or Benefits on Waiver of Privacy Rights,"A covered entity may not require individuals to waive their rights under § 160.306 of this subchapter, this subpart, or subpart D of this part, as a condition of the provision of treatment, payment, enrollment in a health plan, or eligibility for benefits.",,Administrative Requirements,47,164.530(h),Standard: Waiver of rights.,Yes,,,
120,Policies and Procedures - Implement Policies and Procedures to Comply with Privacy Rule,"A covered entity must implement policies and procedures with respect to protected health information that are designed to comply with the standards, implementation specifications, or other requirements of this subpart and subpart D of this part. The policies and procedures must be reasonably designed, taking into account the size and the type of activities that relate to protected health information undertaken by a covered entity, to ensure such compliance.",,Administrative Requirements,47,164.530(i)(1),Standard: Policies and procedures.,Yes,,,
121,Changes to Policies - Update Policies and Procedures as Laws and Practices Change,"A covered entity must change its policies and procedures as necessary and appropriate to comply with changes in the law, including the standards, requirements, and implementation specifications of this subpart or subpart D of this part.",,Administrative Requirements,47,164.530(i)(2),Standard: Changes to policies and procedures.,Yes,,,
122,Documentation - Maintain Written or Electronic Records of All Required Policies and Actions,"A covered entity must: (i) Maintain the policies and procedures provided for in paragraph (i) of this section in written or electronic form; (ii) If a communication is required by this subpart to be in writing, maintain such writing, or an electronic copy, as documentation; and (iii) If an action, activity, or designation is required by this subpart to be documented, maintain a written or electronic record of such action, activity, or designation.",,Administrative Requirements,47,164.530(j)(1),"Standard: Documentation. A covered entity must maintain the policies and procedures provided for in paragraph (i) of this section in written or electronic form; if a communication is required by this subpart to be in writing, maintain such writing, or an electronic copy, as documentation; and if an action, activity, or designation is required by this subpart to be documented, maintain a written or electronic record of such action, activity, or designation.",Yes,,,
123,Retention Period - Retain Privacy Documentation for 6 Years from Creation or Last Effect,"A covered entity must retain the documentation required by paragraph (j)(1) of this section for six years from the date of its creation or the date when it last was in effect, whichever is later.",,Administrative Requirements,47,164.530(j)(2),"Implementation specification: Retention period. A covered entity must retain the documentation required by paragraph (j)(1) of this section for six years from the date of its creation or the date when it last was in effect, whichever is later.",Yes,,,
