Framework_ID,Name,Framework_ID,INTERNAL - Release Wave,Category,Code,Description,Framework Type,Is Active,Last Update Date,Owner (Company),Published Date,Region Scope,Report Objectives,Sort Order,Source URL,VectraIQ_Supported,Version,N8N Content Generator
31,ISO/IEC 27035 - Information Security Incident Management,31,Wave 3,Cybersecurity Frameworks,ISO 27035,"ISO/IEC 27035 provides guidance for establishing and improving structured information security incident management processes. It outlines incident detection, reporting, assessment, response coordination, communication, and post-incident learning practices. Organizations select ISO 27035 to mature their incident response capability and align with internationally recognized lifecycle management standards.",Risk Assessment,Yes,1-Sep-22,,1-Feb-16,Global,"This assessment evaluated the organization's incident management framework against ISO/IEC 27035 guidance within the defined scope to assess preparedness across detection, reporting, assessment, response, communication, and post-incident learning activities, determine alignment with structured incident lifecycle management practices, identify procedural and governance gaps, and evaluate overall incident response maturity.",31,https://www.iso.org/standard/60803.html,Yes,2016,
32,ITIL - IT Service Management Framework,32,Wave 3,Risk & Management Standards,ITIL,"ITIL is a globally recognized framework for managing IT services across their lifecycle, including service strategy, design, transition, operation, and continual improvement. It emphasizes structured processes such as change enablement, incident and problem management, service level management, and performance optimization. Organizations select ITIL to improve service reliability, operational efficiency, and governance alignment.",Risk Assessment,Yes,1-Oct-23,,1-Feb-19,Global,"This assessment evaluated the organization's IT service management practices against ITIL guidance within the defined scope, including service strategy, service design, change enablement, incident and problem management, service level management, and continual improvement processes, to assess operational maturity, governance alignment, process effectiveness, and opportunities to improve service performance and risk control.",32,https://www.axelos.com/certifications/itil-service-management,Yes,ITIL 4,
33,COSO - Internal Control Framework,33,Wave 3,Risk & Management Standards,COSO,"The COSO Internal Control Integrated Framework provides principles for designing and evaluating enterprise internal controls. It defines five components: control environment, risk assessment, control activities, information and communication, and monitoring. Organizations select COSO to assess governance effectiveness, strengthen internal controls over operations and reporting, and support regulatory or audit requirements.",Risk Assessment,Yes,1-Jun-17,,########,Global,"This assessment evaluated the organization's internal control environment against the COSO Internal Control Integrated Framework within the defined scope, including control environment, risk assessment, control activities, information and communication, and monitoring components, to assess design and operating effectiveness of controls, identify material weaknesses or significant deficiencies, and evaluate overall governance and risk management maturity.",33,https://www.coso.org/Pages/ic.aspx,Yes,2013,
34,COBIT 2019 - IT Governance Framework,34,Wave 3,Risk & Management Standards,COBIT 2019,"COBIT 2019 is a governance and management framework for enterprise information and technology. It aligns IT objectives with business goals, defines governance and management objectives, and supports performance measurement and capability assessment. Organizations select COBIT to evaluate IT governance maturity, strengthen oversight, and optimize value delivery and risk management.",Risk Assessment,Yes,1-Sep-23,,1-Nov-18,Global,"This assessment evaluated the organization's IT governance and management system against COBIT 2019 within the defined scope, including governance objectives, management objectives, performance management practices, and alignment with enterprise goals, to assess capability levels, identify governance and control gaps, and determine effectiveness of IT value delivery and risk optimization.",34,https://www.isaca.org/resources/cobit,Yes,2019,
35,ISO/IEC 42001 - Artificial Intelligence Management Systems,35,Wave 3,AI & Emerging Tech Governance,ISO 42001,"ISO/IEC 42001 establishes requirements for an Artificial Intelligence Management System focused on responsible development, deployment, and oversight of AI technologies. It addresses governance structure, risk assessment, lifecycle controls, transparency, monitoring, and continual improvement. Organizations select ISO 42001 to formalize AI governance practices and prepare for emerging regulatory and ethical expectations.",Risk Assessment,Yes,1-Jan-24,,########,Global,"This assessment evaluated the organization's Artificial Intelligence Management System within the defined scope against ISO/IEC 42001 requirements, including AI governance structure, risk assessment methodology, lifecycle controls, transparency and accountability mechanisms, monitoring processes, and continual improvement practices, to assess conformity with management system requirements, identify control and oversight gaps, and determine readiness for certification and responsible AI deployment.",35,https://www.iso.org/standard/81230.html,Yes,2023,
36,ISO/IEC 27003 - Information Security Management System Guidance,36,Wave 3,Cybersecurity Frameworks,ISO 27003,"ISO/IEC 27003 provides implementation guidance for establishing and maintaining an Information Security Management System aligned with ISO 27001 requirements. It offers structured recommendations for risk assessment, control selection, governance integration, and performance evaluation. Organizations select ISO 27003 to support structured ISMS development and improve readiness for ISO 27001 certification.",Risk Assessment,Yes,1-Jan-22,,1-Apr-17,Global,"This assessment evaluated the organization's implementation and operationalization of its Information Security Management System against ISO/IEC 27003 guidance within the defined scope to assess adequacy of ISMS design, alignment with ISO 27001 structural requirements, effectiveness of risk assessment and control selection processes, and identification of structural or governance deficiencies impacting ISMS maturity.",36,https://www.iso.org/standard/63418.html,Yes,2017,
37,NIST AI RMF - Artificial Intelligence Risk Management Framework,37,Wave 3,AI & Emerging Tech Governance,NIST AI RMF,"The NIST Artificial Intelligence Risk Management Framework provides guidance for managing risks associated with AI systems through four core functions: Govern, Map, Measure, and Manage. It emphasizes transparency, accountability, bias mitigation, security, and lifecycle oversight. Organizations select NIST AI RMF to assess AI-related risks, strengthen governance controls, and align with evolving regulatory and industry expectations.",Risk Assessment,Yes,26-Jan-23,,26-Jan-23,Global,"This assessment evaluated the organization's AI governance and risk management practices against the NIST AI Risk Management Framework within the defined scope, including Govern, Map, Measure, and Manage functions, to assess identification and mitigation of AI-related risks, transparency and accountability mechanisms, lifecycle risk management integration, and overall maturity of responsible AI oversight practices.",37,https://www.nist.gov/itl/ai-risk-management-framework,Yes,1,
38,U.S. Food and Drug Administration Regulations,38,Wave 4,Industry-Specific Compliance,FDA,"U.S. Food and Drug Administration regulations govern quality systems, product safety, data integrity, validation controls, and regulatory documentation for organizations operating in regulated life sciences and medical industries. They include current Good Manufacturing Practice requirements and inspection oversight expectations. Organizations select this framework to assess regulatory compliance readiness and strengthen quality and documentation controls prior to FDA inspection.",Risk Assessment,Yes,1-Jan-24,,25-Jun-38,United States,"This assessment evaluated the organization's quality systems, validation controls, data integrity practices, change management processes, and regulatory documentation against applicable U.S. Food and Drug Administration regulations within the defined scope to assess compliance with current Good Manufacturing Practices and related requirements, identify procedural and control deficiencies, and determine readiness for regulatory inspection and enforcement scrutiny.",38,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,No,N/A,
39,Federal Communications Commission Rules,39,Wave 4,Industry-Specific Compliance,FCC Communications,"Federal Communications Commission rules establish regulatory requirements for telecommunications providers and related entities, including operational compliance, reporting obligations, cybersecurity safeguards, and consumer protection standards. Organizations select this framework to evaluate regulatory alignment, strengthen compliance monitoring mechanisms, and prepare for supervisory review or enforcement exposure.",Risk Assessment,Yes,1-Feb-24,,19-Jun-34,United States,"This assessment evaluated the organization's operational, technical, cybersecurity, and reporting controls against applicable Federal Communications Commission rules within the defined scope to assess regulatory alignment, adequacy of compliance monitoring mechanisms, identification of rule-level gaps, and readiness for supervisory review or enforcement action.",39,https://www.fcc.gov/regulations,No,N/A,
40,Uniform Financial Institutions Rating System (CAMELS),40,Wave 4,Financial Regulations,CAMEL Rating,"The CAMELS rating system is used by U.S. banking regulators to assess financial institutions across Capital adequacy, Asset quality, Management effectiveness, Earnings performance, Liquidity management, and Sensitivity to market risk. It provides a supervisory evaluation model rather than a prescriptive control framework. Institutions select CAMELS-based assessments to evaluate examination readiness, governance maturity, and overall institutional resilience.",Risk Assessment,Yes,1-Oct-23,,1-Nov-79,United States,"This assessment evaluated governance practices, capital adequacy controls, asset quality oversight, management effectiveness, earnings controls, liquidity management, and sensitivity to market risk within the defined scope to assess alignment with CAMELS supervisory rating criteria, identify areas that may adversely impact examination outcomes, and evaluate overall institutional resilience and supervisory readiness.",40,https://www.federalreserve.gov/supervisionreg/topics/camels.htm,No,N/A,
41,UNECE R155 & R156 - Vehicle Cybersecurity & Software Updates,41,Wave 4,Industry-Specific Compliance,R155 & R156,"UNECE R155 and R156 establish regulatory requirements for automotive cybersecurity management systems and secure software update processes. They require lifecycle risk management, vulnerability monitoring, incident response capabilities, and controlled update mechanisms for connected vehicles. Automotive manufacturers and suppliers select this framework to assess regulatory compliance readiness and support type approval within applicable jurisdictions.",Risk Assessment,Yes,1-Jan-23,,1-Jan-21,Global,"This assessment evaluated the organization's vehicle cybersecurity management system and software update management system against UNECE R155 and R156 requirements within the defined scope to assess governance of automotive cyber risks, lifecycle security controls, vulnerability monitoring, secure software update mechanisms, and readiness for type approval and regulatory compliance.",41,https://unece.org/transport/standards/transport/vehicle-regulations,No,2021,
42,Cyber Essentials Plus - UK Government Cybersecurity Certification,42,Wave 4,Cybersecurity Frameworks,Cyber Essentials Plus,"Cyber Essentials Plus is a UK government-backed cybersecurity certification that validates implementation and operational effectiveness of baseline technical controls, including secure configuration, access control, malware protection, and patch management. It requires independent technical verification. Organizations select Cyber Essentials Plus to demonstrate externally validated cyber hygiene and meet UK public sector or supply chain requirements.",Risk Assessment,Yes,1-Jun-23,,24-Jan-22,United Kingdom (UK),"This assessment evaluated the organization's implementation and operational effectiveness of required technical controls under the UK Cyber Essentials Plus scheme within the defined scope to assess conformance with baseline security requirements, validate configuration and control effectiveness through testing, identify technical deficiencies, and determine readiness for certification assessment.",42,https://www.ncsc.gov.uk/cyberessentials/overview,No,2022,
43,Cyber Essentials - UK Government Cybersecurity Baseline,43,Wave 4,Cybersecurity Frameworks,Cyber Essentials,"Cyber Essentials defines a foundational set of technical cybersecurity controls intended to protect against common internet-based threats. It focuses on essential safeguards such as firewalls, secure configuration, user access control, malware protection, and patch management. Organizations select Cyber Essentials to establish baseline security maturity and prepare for certification.",Risk Assessment,Yes,1-Jun-23,,24-Jan-22,United Kingdom (UK),"This assessment evaluated the organization's implementation of required baseline technical safeguards under the UK Cyber Essentials framework within the defined scope to assess compliance with core control requirements, identify foundational security gaps, and determine readiness for certification.",43,https://www.ncsc.gov.uk/cyberessentials/overview,No,2022,
44,CJIS - Criminal Justice Information Services Security Policy,44,Wave 4,Industry-Specific Compliance,CJIS,"The FBI CJIS Security Policy defines administrative, technical, and physical safeguards required to protect Criminal Justice Information. It includes access control, encryption, logging, personnel screening, incident response, and audit requirements for agencies and service providers handling law enforcement data. Organizations select CJIS assessments to evaluate compliance readiness and strengthen protection of sensitive justice-related information.",Risk Assessment,Yes,1-Oct-23,,1-Jun-20,United States,"This assessment evaluated the organization's administrative, technical, and physical safeguards protecting Criminal Justice Information against the FBI CJIS Security Policy within the defined scope to assess compliance with access control, encryption, logging, personnel screening, and incident response requirements, identify control deficiencies, and determine readiness for CJIS audit or agency review.",44,https://www.fbi.gov/services/cjis/cjis-security-policy-resource-center,No,v5.9,
45,NIS2 - EU Network and Information Security Directive,45,Wave 4,Cybersecurity Frameworks,NIS2,"NIS2 establishes cybersecurity and resilience obligations for essential and important entities operating within the European Union. It requires risk management controls, supply chain oversight, incident reporting, executive accountability, and supervisory cooperation. Organizations select NIS2 assessments to evaluate regulatory readiness and strengthen cybersecurity governance in line with EU expectations.",Risk Assessment,Yes,1-Oct-23,,########,European Union (EU),"This assessment evaluated the organization's cybersecurity governance, risk management practices, incident reporting processes, supply chain security controls, and executive accountability mechanisms against NIS2 requirements within the defined scope to assess regulatory alignment, identify systemic control gaps, and determine readiness for supervisory authority oversight and enforcement.",45,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,No,2022,
46,DORA - Digital Operational Resilience Act,46,Wave 4,Financial Regulations,DORA,"DORA establishes EU regulatory requirements for digital operational resilience within the financial sector. It defines obligations related to ICT risk management, incident reporting, resilience testing, third-party oversight, and governance accountability. Financial entities select DORA assessments to evaluate compliance readiness and enhance operational resilience under EU supervisory frameworks.",Risk Assessment,Yes,1-Sep-23,,########,European Union (EU),"This assessment evaluated the organization's ICT risk management framework, incident reporting mechanisms, digital operational resilience testing, third-party risk oversight, and governance structures against DORA requirements within the defined scope to assess compliance alignment, identify operational resilience deficiencies, and determine readiness for regulatory supervision and enforcement.",46,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,No,2022,
47,HIPAA Privacy Rule - Health Information Privacy Requirements,47,Wave 4,Healthcare Compliance,HIPAA Privacy,"The HIPAA Privacy Rule establishes standards governing the use, disclosure, and protection of protected health information. It defines requirements for data subject rights, minimum necessary use, notice of privacy practices, administrative safeguards, and workforce oversight. Covered entities and business associates select this framework to assess compliance readiness and strengthen patient data privacy governance.",Risk Assessment,Yes,1-Jan-23,,########,United States,"This assessment evaluated the organization's policies, procedures, notice of privacy practices, data use and disclosure controls, minimum necessary standards, data subject rights handling processes, and workforce training mechanisms against HIPAA Privacy Rule requirements within the defined scope to assess regulatory alignment, identify privacy governance gaps, and determine exposure to enforcement and civil liability risk.",47,https://www.hhs.gov/hipaa/for-professionals/privacy/index.html,No,2003,
48,ISACA Quantum Computing Preparedness Framework,48,Wave 5,AI & Emerging Tech Governance,ISACA QCPF,"The ISACA Quantum Computing Preparedness Framework provides structured guidance for assessing organizational exposure to emerging quantum computing risks, particularly those affecting cryptographic systems and long-term data protection. It emphasizes cryptographic inventory, algorithm dependency analysis, governance oversight, and transition planning toward post-quantum security. Organizations select this framework to evaluate future-state cryptographic resilience and develop a proactive quantum risk strategy.",Risk Assessment,Yes,1-Nov-23,,1-Nov-23,Global,"This assessment evaluated the organization's cryptographic governance structure, algorithm inventory, dependency mapping, key management practices, and transition planning capabilities against the ISACA Quantum Computing Preparedness Framework within the defined scope to assess exposure to quantum-era cryptographic risk, readiness for post-quantum migration, and maturity of long-term cryptographic resilience strategy.",48,https://www.isaca.org/bookstore/bookstore-wht_papers-digital/whqcpf,Yes,1,
49,Family Educational Rights and Privacy Act,49,Wave 5,Privacy Regulations,FERPA,"FERPA is a U.S. federal law governing the privacy and protection of student education records. It establishes requirements for consent management, access controls, disclosure limitations, and record handling practices for educational institutions and service providers. Organizations select FERPA assessments to evaluate compliance readiness and strengthen governance over student data protection.",Risk Assessment,Yes,1-Jul-23,,########,United States,"This assessment evaluated the organization's policies, consent management processes, disclosure controls, access safeguards, and record retention practices against applicable FERPA requirements within the defined scope to assess compliance with statutory privacy obligations, identify administrative and technical control gaps, and evaluate exposure to regulatory and reputational risk.",49,https://www2.ed.gov/policy/gen/guid/fpco/ferpa/index.html,No,N/A,
50,Investment Advisers Act of 1940,50,Wave 5,Financial Regulations,SEC Advisers Act,"The Investment Advisers Act of 1940 establishes regulatory requirements for investment advisory firms, including fiduciary obligations, supervisory procedures, recordkeeping, and compliance oversight. It also intersects with cybersecurity and operational risk management expectations. Organizations select this framework to assess regulatory compliance posture and strengthen supervisory and governance controls.",Risk Assessment,Yes,1-Dec-23,,15-Oct-40,United States,"This assessment evaluated the organization's fiduciary oversight mechanisms, supervisory procedures, compliance monitoring controls, cybersecurity safeguards, and recordkeeping practices against applicable provisions of the Investment Advisers Act of 1940 within the defined scope to assess regulatory alignment, control effectiveness, and exposure to examination or enforcement action.",50,https://www.sec.gov/investment/laws-and-rules,No,N/A,
51,ISO/IEC 45001 - Occupational Health and Safety Management,51,Wave 5,Environmental Social and Governance (ESG),ISO 45001,"ISO 45001 is an international standard for implementing an Occupational Health and Safety Management System. It defines requirements for hazard identification, risk assessment, leadership commitment, operational controls, incident investigation, and continual improvement. Organizations select ISO 45001 to formalize workplace safety governance and prepare for certification.",Risk Assessment,Yes,1-Sep-21,,########,Global,"This assessment evaluated the organization's occupational health and safety management system within the defined scope against ISO 45001 requirements, including hazard identification, risk assessment processes, leadership commitment, operational controls, incident investigation, and continual improvement mechanisms, to assess conformity with management system requirements, identify nonconformities, and determine readiness for certification or surveillance audit.",51,https://www.iso.org/standard/63787.html,Yes,2018,
52,ISO/IEC 14001 - Environmental Management Systems,52,Wave 5,Environmental Social and Governance (ESG),ISO 14001,"ISO 14001 establishes requirements for an Environmental Management System focused on identifying environmental aspects and impacts, managing compliance obligations, implementing operational controls, monitoring performance, and driving continual improvement. Organizations select ISO 14001 to strengthen environmental governance and prepare for certification or regulatory review.",Risk Assessment,Yes,1-Aug-21,,########,Global,"This assessment evaluated the organization's environmental management system within the defined scope against ISO 14001 requirements, including environmental aspects and impacts identification, compliance obligations management, operational controls, monitoring and measurement activities, and continual improvement processes, to assess conformity with management system requirements and readiness for certification.",52,https://www.iso.org/standard/60857.html,Yes,2015,
53,"Environmental, Social, and Governance Compliance",53,Wave 5,Environmental Social and Governance (ESG),ESG Compliance,"Environmental, Social, and Governance compliance frameworks focus on structured oversight of sustainability practices, ethical governance, risk transparency, and stakeholder reporting obligations. They address environmental impact management, social responsibility controls, and board-level governance mechanisms. Organizations select ESG compliance assessments to evaluate reporting readiness, strengthen governance maturity, and align with investor and regulatory expectations.",Risk Assessment,Yes,1-Jan-24,,,Global,"This assessment evaluated the organization's ESG governance framework, sustainability reporting controls, environmental and social risk management processes, and board-level oversight mechanisms within the defined scope to assess alignment with applicable regulatory, stakeholder, and disclosure requirements, identify reporting and governance gaps, and evaluate overall ESG program maturity.",53,https://www.sec.gov/esg,Yes,N/A,
54,"Environment, Health, and Safety Compliance",54,Wave 5,Environmental Social and Governance (ESG),EHS Compliance,"Environment, Health, and Safety compliance frameworks address statutory obligations related to workplace safety, environmental protection, operational risk controls, and incident reporting. They emphasize regulatory alignment, documentation management, and continuous monitoring of safety performance. Organizations select EHS compliance assessments to evaluate regulatory readiness and reduce operational and legal risk exposure.",Risk Assessment,Yes,1-Jan-24,,,Global,"This assessment evaluated the organization's environment, health, and safety compliance controls, operational safeguards, regulatory reporting mechanisms, and incident management processes within the defined scope to assess adherence to applicable statutory requirements, identify procedural and control deficiencies, and evaluate overall compliance and risk management effectiveness.",54,https://www.osha.gov/laws-regs,Yes,N/A,
55,EDC - Electronic Data Collection Compliance,55,Wave 5,Industry-Specific Compliance,EDC,"Electronic Data Collection compliance frameworks govern the secure and lawful collection, storage, processing, and transmission of electronically captured data. They emphasize consent management, data integrity, access controls, retention policies, and regulatory documentation practices. Organizations select EDC assessments to evaluate compliance posture and strengthen governance over digitally collected information.",Risk Assessment,Yes,1-Jan-24,,,Global,"This assessment evaluated the organization's electronic data collection processes, consent mechanisms, data integrity safeguards, storage and transmission controls, and regulatory documentation practices within the defined scope to assess compliance with applicable data collection regulations, identify security and privacy control gaps, and evaluate exposure to regulatory and operational risk.",55,https://www.fda.gov/media/85183/download,Yes,N/A,
56,Zero Trust - Cybersecurity Architecture Model,56,Wave 5,Cybersecurity Frameworks,Zero Trust,"Zero Trust is a cybersecurity architecture model based on the principle of continuous verification and least-privilege access rather than implicit trust within network boundaries. It emphasizes identity-centric access controls, micro-segmentation, device validation, continuous monitoring, and policy enforcement across users and systems. Organizations select Zero Trust assessments to evaluate architectural maturity and modernize security posture against evolving threat models.",Risk Assessment,Yes,1-Dec-23,,########,Global,"This assessment evaluated the organization's cybersecurity architecture against Zero Trust principles within the defined scope, including identity-centric access controls, continuous authentication and authorization, network segmentation, device posture validation, data protection mechanisms, and monitoring capabilities, to assess architectural maturity, alignment with least-privilege and verification-based access models, and identification of structural security gaps.",56,https://www.nist.gov/publications/zero-trust-architecture,Yes,N/A,
57,NIST SP 800-53 - Privacy Controls,57,Wave 5,Privacy Regulations,NIST 800-53 Privacy,"NIST SP 800-53 includes a comprehensive catalog of security and privacy controls used to protect information systems across federal and enterprise environments. The privacy controls address data minimization, consent, accountability, transparency, and governance oversight. Organizations select this framework to evaluate structured privacy control implementation and align with federal or enterprise risk management standards.",Risk Assessment,Yes,1-Oct-23,,########,United States,"This assessment evaluated the organization's implementation of privacy controls derived from NIST SP 800-53 within the defined system boundary to assess compliance with privacy engineering principles, adequacy of data minimization and consent mechanisms, effectiveness of governance and oversight processes, and identification of privacy-related control deficiencies.",57,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final,Yes,Rev. 5,
58,PCI DSS - Payment Card Industry Data Security Standard,58,Wave 5,Payment Security,PCI DSS,"PCI DSS establishes global security requirements for protecting cardholder data within payment processing environments. It defines technical and procedural safeguards related to network segmentation, encryption, access control, monitoring, vulnerability management, and security governance. Organizations that store, process, or transmit payment card data select PCI DSS to evaluate compliance readiness and reduce payment-related data risk.",Risk Assessment,Yes,########,,1-May-18,Global,"This assessment evaluated the organization's cardholder data environment and supporting security controls against PCI DSS requirements within the defined scope to assess network segmentation, access control mechanisms, encryption safeguards, logging and monitoring capabilities, vulnerability management processes, and overall readiness for Qualified Security Assessor validation.",58,https://www.pcisecuritystandards.org/document_library,No,3.2.1,
59,NIST CSF - Cybersecurity Framework,59,Wave 5,Cybersecurity Frameworks,NIST CSF,"The NIST Cybersecurity Framework provides a risk-based structure for managing cybersecurity programs through five Core Functions: Identify, Protect, Detect, Respond, and Recover. It emphasizes integration of security into enterprise risk management and supports maturity assessment and continuous improvement. Organizations select NIST CSF to evaluate overall cybersecurity posture and structure risk management initiatives.",Risk Assessment,Yes,########,,########,Global,"This assessment evaluated the organization's cybersecurity program against the NIST Cybersecurity Framework Core Functions of Identify, Protect, Detect, Respond, and Recover within the defined scope to assess alignment with framework outcomes, maturity of risk management integration, identification of systemic control gaps, and development of a risk-informed improvement roadmap.",59,https://www.nist.gov/cyberframework,Yes,1.1,
60,CIS Controls v8 - Implementation Group 3,60,Wave 5,Cybersecurity Frameworks,CIS v8 IG3,"CIS Controls v8 Implementation Group 3 provides advanced safeguards designed for organizations with complex environments or elevated threat exposure. It builds upon foundational controls and introduces enhanced capabilities in detection, response, and defensive depth. Organizations select Implementation Group 3 to assess higher-order control maturity and strengthen security posture in high-risk or regulated environments.",Risk Assessment,Yes,1-Sep-23,,########,Global,"This assessment evaluated the organization's cybersecurity control environment against CIS Controls v8 Implementation Group 3 within the defined scope to assess advanced safeguard implementation, integration of defensive controls across complex environments, operational consistency, threat-informed coverage, and identification of higher-order control gaps requiring strategic remediation.",60,https://www.cisecurity.org/controls/cis-controls-list,Yes,v8,